longitude,latitude
-122.66074676801279,45.60119644636959
-122.66059204551821,45.601667389518695
-122.66053564857305,45.6011638268667
-122.66039152322236,45.6016362687166
-122.66033508968106,45.60055853287939
-122.66026157996623,45.600721679467526
-122.66023941047987,45.60079131339047
-122.65511166636904,45.591775248461644
-122.6545989903236,45.59212480898967
-122.65379880688108,45.591251062645334
-122.65377133896266,45.59112151615529
-122.65373117288877,45.59086503715565
-122.6535787715097,45.59087375913242
-122.65225411513255,45.600406344251894
-122.64444891199544,45.59157023479991
-122.64438028441334,45.59143565516108
-122.64415795514067,45.59071881728224
-122.64357345092883,45.5904882578452
-122.64339357462937,45.59057769927396
-122.6814091564935,45.59277734456466
-122.68132471501872,45.592591387866044
-122.6795180151701,45.60226599931711
-122.6781547616795,45.6027294928625
-122.67701775014946,45.60382286246478
-122.67680809027068,45.60376757100629
-122.67603826443123,45.6030669774448
-122.67579907945843,45.60303165204523
-122.67450136371735,45.59662047110991
-122.67465680423616,45.60370382838767
-122.67455027290308,45.60335715406295
-122.67422710364684,45.59663043694359
-122.67088816040581,45.59747356204443
-122.668112401163,45.59568320598398
-122.66794963132857,45.595564343562685
-122.66613880999506,45.59402580478327
-122.66594885937837,45.59386698800357
-122.66603322060807,45.60244726594607
-122.66541155620548,45.5934147711056
-122.66549971297562,45.59376468451799
-122.6644059127443,45.60219547111276
-122.66349945171619,45.59207706042891
-122.66339759900237,45.591969914417774
-122.66250187180364,45.601314184968636
-122.66250394415013,45.601960780872176
-122.66245594398279,45.601462125067115
-122.66231147880472,45.60193139973872
-122.66179069404734,45.601203949477124
-122.66174434590631,45.60135140601853
-122.66158015895401,45.601171126619434
-122.66159249990316,45.60182523657523
-122.6615336301973,45.60131864917925
-122.66138752841916,45.60179427560087
-122.68520401444938,45.59503212830829
-122.68415410270086,45.60546143045225
-122.68394085204977,45.60593674348091
-122.68383645092679,45.6055922843186
-122.72308461426462,45.592697086158275
-122.72308382291318,45.59282299809765
-122.72305153867028,45.59414491248492
-122.72304968864461,45.59435088650274
-122.72223860663414,45.59282065548971
-122.72206178915913,45.592691339364606
-122.7220653305822,45.59281993199726
-122.72123147054928,45.592682860509775
-122.7212300056707,45.592819887474434
-122.72122541822989,45.59407504473596
-122.72122565348323,45.59428002400076
-122.72096652886225,45.592684123849324
-122.72096515929411,45.59281621967975
-122.72094402153196,45.594046760963856
-122.72094360955884,45.59426732024
-122.72013471824359,45.592680367550756
-122.7201404535786,45.59281356973618
-122.71995276047832,45.59267975970274
-122.71994440555231,45.592812320742794
-122.74374289266201,45.59395639389448
-122.74367758823044,45.59408561765089
-122.74356264390646,45.5925819007908
-122.74347383332125,45.592367315201244
-122.7435668740062,45.596932971725856
-122.74338551445892,45.59254079922623
-122.74356510277642,45.60088131288292
-122.74318351941471,45.59730596698718
-122.74327821763407,45.59969506575576
-122.74312275964336,45.59743280917198
-122.74295867950684,45.59377129691424
-122.74314837274305,45.599540728468874
-122.74289251039075,45.59390143045155
-122.74309482376022,45.59965143573489
-122.74277965090133,45.59372987974777
-122.74268887371592,45.592183156177455
-122.7427129948587,45.5938602308684
-122.74287294775932,45.59834300349952
-122.74260028107004,45.5923562333314
-122.74281125252543,45.59843686708928
-122.74286000225565,45.60053785877912
-122.7425096546795,45.59214144950775
-122.74242099938792,45.59231415565313
-122.74263470176915,45.5983946234183
-122.74270403386483,45.60046003761307
-122.74242386190176,45.59652936275181
-122.74236302214302,45.59665403742995
-122.74234189276075,45.59710657581469
-122.74228225940708,45.59723020216893
-122.74222943000319,45.595223783741325
-122.74237195043827,45.59935552482045
-122.74231796942404,45.599465835463555
-122.74207615576366,45.59518747823959
-122.74199369672563,45.5935482885955
-122.74193057920554,45.593673336453385
-122.74181408954543,45.593506652451865
-122.74172171917128,45.59196655283797
