objectid,power_supplier
525,PGE
526,PGE
527,PPL
528,PGE
529,PGE
530,PGE
531,PGE
532,PGE
533,PGE
534,PGE
535,PGE
536,PGE
537,PGE
538,PGE
539,PGE
540,PGE
541,PGE
542,PGE
543,PGE
544,PGE
545,PGE
546,PGE
547,PGE
548,PGE
549,PGE
550,PGE
551,PGE
552,PGE
553,PGE
554,PGE
555,PGE
556,PGE
557,PGE
558,PGE
559,PGE
560,PGE
561,PGE
562,PGE
563,PPL
564,PGE
565,PGE
566,PGE
567,PGE
568,PGE
569,PGE
570,PGE
571,PGE
572,PGE
573,PGE
574,PGE
575,PGE
576,PGE
577,PGE
578,PGEGRESH
579,PGEGRESH
580,PGE
581,PGE
582,PGE
583,PGE
584,PGE
585,PGE
586,PGE
587,PPL
588,PPL
589,PGE
590,PGE
591,PPL
592,PGE
593,PGE
594,PGE
595,PGE
596,PGE
597,PGE
598,PGE
599,PGE
600,PGE
601,PGE
602,PPL
603,PPL
604,PPL
605,PPL
606,PPL
607,PPL
608,PGE
609,PGE
610,PGE
611,PGE
612,PGE
613,PGE
614,PGE
615,PGE
616,UNKNOWN
617,PGE
618,PGE
619,PGE
620,PGE
621,PGE
622,PGE
623,PGE
624,PGE
625,PGE
626,PGEGRESH
627,PGEGRESH
628,PGEGRESH
629,PGEGRESH
630,PGEGRESH
631,PGEGRESH
632,PGEGRESH
633,PGEGRESH
634,PGEGRESH
635,PGE
636,PGEGRESH
637,PGEGRESH
638,PGE
639,PGEGRESH
640,PGEGRESH
641,PGEGRESH
642,UNKNOWN
643,PGE
644,PGE
645,PGEGRESH
646,PGEGRESH
647,PGEGRESH
648,PGE
649,PGEGRESH
650,PGE
651,PGE
652,PGE
653,PGE
654,PGE
655,PGE
656,PGE
657,PGEGRESH
658,PGE
659,PGE
660,PGEGRESH
661,PGE
662,PGE
663,PGE
664,PGE
665,PGE
666,PGE
667,PGE
668,PGE
669,PGE
670,PGE
671,PGE
672,PGE
673,PGE
674,PGE
675,PPL
676,PGE
677,PPL
678,PPL
679,PPL
680,PPL
681,PPL
682,PPL
683,PGE
684,PGE
685,PGE
686,PGE
687,PGE
688,PGE
689,PGE
690,PGE
691,PGE
692,PPL
693,PPL
694,PPL
695,PPL
696,PGE
697,PGE
698,PGE
699,PGE
700,PGE
701,PPL
702,PPL
703,PPL
704,PPL
705,PPL
706,PPL
707,PGE
708,PGE
709,PGE
710,PGE
711,PGE
712,PGE
713,PGE
714,PGE
715,PGE
716,PGE
717,PPL
718,PPL
719,PGE
720,PGE
721,PGE
722,PPL
723,PGE
724,PGE
725,PGE
726,PPL
727,PGE
728,PPL
729,PGE
730,PGE
731,PGE
732,PGE
733,PGE
734,PGE
735,PPL
736,PPL
737,PPL
738,PPL
739,PPL
740,PGE
741,PGE
742,PGE
743,PGE
744,PGE
745,PGE
746,PGE
747,PGE
748,PGE
749,PGE
750,PGE
751,PGE
752,PGE
753,PGE
754,PGE
755,PGE
756,PGE
757,PGE
758,PGE
759,PGE
760,PGE
761,PGE
762,PGE
763,PGE
764,PGE
765,PGE
766,PGE
767,PGE
768,PGE
769,PGE
770,PGE
771,PGE
772,PGE
773,PGE
774,PGE
775,PGE
776,PGE
777,PGE
778,PGE
779,PGE
780,PGE
781,PGE
782,PGE
783,PGE
784,PGE
785,PGE
786,PGE
787,PGE
788,PGE
