facility,address,city,state,zip,county,hosp_type,total_beds
Mercy Orthopedic Hospital Springfield,3050 E Riverbluff Boulevard,Ozark,MO,65721,Greene,General Acute Care,48
Mercy Rehabilitation Hospital Springfield,5904 S Southwood Road,Springfield,MO,65804,Greene,Rehabilitation Hospital,60
Select Specialty Hospital - Springfield,1630 East Primrose Street,Springfield,MO,65804,Greene,General Acute Care,60
Cox Medical Centers South Hospital,3801 South National Avenue,Springfield,MO,65807,Greene,General Acute Care,706
Perimeter Behavioral Hospital of Springfield,2828 North National Drive,Springfield,MO,65803,Greene,Psychiatric Hospital,32
Mercy Hospital Carthage,3125 Dr Russell Smith Way,Carthage,MO,64836,Jasper,Critical Access,25
Missouri Delta Medical Center,1008 North Main Street,Sikeston,MO,63801,Scott,General Acute Care,125
Mercy Hospital Aurora,500 Porter Avenue,Aurora,MO,65605,Lawrence,Critical Access,53
SoutheastHEALTH Center of Stoddard County,1200 North One Mile Road,Dexter,MO,63841,Stoddard,General Acute Care,48
Freeman Neosho Hospital,113 West Hickory Street,Neosho,MO,64850,Newton,Critical Access,25
Freeman Health System - East,932 East 34th Street,Joplin,MO,64804,Newton,General Acute Care,72
Freeman Health System - West,1102 West 32nd Street,Joplin,MO,64804,Newton,General Acute Care,337
Mercy St. Francis Hospital,"100 West Highway 60, PO Box 82",Mountain View,MO,65548,Howell,Critical Access,25
Ozarks Healthcare,"1100 Kentucky Avenue, P.O. Box 1100",West Plains,MO,65775,Howell,General Acute Care,114
John J Pershing VA Medical Center,1500 N Westwood Blvd.,Poplar Bluff,MO,63901,Butler,VA,53
Poplar Bluff Regional Medical Center,2620 North Westwood Boulevard,Poplar Bluff,MO,63901,Butler,General Acute Care,170
Poplar Bluff Regional Medical Center,3100 Oak Grove Road,Poplar Bluff,MO,63901,Butler,General Acute Care,240
Mercy Hospital Cassville,94 Main Street,Cassville,MO,65625,Barry,Critical Access,18
Cox Monett Hospital,1000 E U.S. Highway 60,Monett,MO,65708,Barry,Critical Access,25
